,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
3988,Pennsylvania State University (Penn State),Economics,33750.0,1.5,2019-2020,,,-77.86414400000001,40.801520749999995
3989,Boston University (BU),Philosophy,22500.0,0.79,2018-2019,1st,,-71.104588,42.350218
3990,The Ohio State University,Earth Sciences,18072.0,,2018-2019,1st,Summer TBD,-83.01,40.0
3991,"University of Michigan , Ann Arbor (UM)",Strategy/Business Administration,31800.0,1.38,2018-2019,4th,,-83.73849799999999,42.2771875
3992,"University of California , Riverside (UCR)",Psychology,18000.0,0.75,2018-2019,2nd,"$18k during school year and $3-5k during summer; however, they don't pay you during the summer which makes it extremely difficult... they pay you after summer is over",-117.327529,33.970224
3994,"University of Maryland , College Park (UMD)",Second Language Acquisition MA,17480.0,0.58,2018-2019,1st,,-76.94796,38.984325999999996
3995,,,18000.0,,2018-2019,4th,,,
3996,East Carolina University (ECU),Microbiology and Immunology PhD,22264.0,1.03,2018-2019,4th,,-77.321777,35.628977
3997,Colorado School of Mines,Chemical Engineering,27000.0,1.2,2017-2018,1st,,-105.22265999999999,39.7503565
3998,Worcester Polytechnic Institute (WPI),Chemical Engineering,32000.0,1.42,2018-2019,2nd,insurance costs 1000,-71.80844,42.274151
3999,"University of Wisconsin , Milwaukee (UWM)",Anthropology,15000.0,0.7,2017-2018,2nd,"This is the stipend for doctoral students at a 50% Teaching Assistant appointment (20hr/wk of work); non-doctoral is $12,850 and dissertator is $16,595. Two of these are increasing next year: non-doctoral to $13,750 and dissertator to $16,600. This includes tuition remission (not including any extra fees for certain classes). Non-doctoral students in this department are usually appointed at 33%/9mth $8,481 (increasing to $9,075 for 2018-19). Note that these dollar amounts are split over two semesters; no funding is provided for summer.",-87.885015,43.077074
4000,University of Washington (UW),Microbiology,31900.0,1.37,2018-2019,3rd,,-122.3076595,47.654538
4001,Washington University in St. Louis (Wash U),Genetics,30500.0,1.48,2018-2019,5th,,-90.311359,38.648015
4002,"University of Colorado , Boulder (UCB)",Geological Sciences,34000.0,1.33,2018-2019,6th and up,"I am paid thru an NSF Graduate Research Fellowship, which is higher than typical stipends in my program. ",-105.2617842,40.0069447
4003,"University of Colorado , Boulder (UCB)",Geological Sciences,24000.0,0.94,2016-2017,6th and up,,-105.2617842,40.0069447
4004,University of Arkansas for Medical Sciences,Graduate School/Graduate Program for Interdisciplinary Biomedical Sciences (GPIBS),25000.0,1.2,2018-2019,2nd,"The stipend was recently increased from$24,000 and, as is current events in graduate school news, there's talk of increasing again or bringing in other financial programs to help supplement the low income. It's livable in Little Rock if you don't have extra responsibilities. Insurance is not included for grad students. ",-92.320431,34.7494735
4005,Indiana University,Biology,25000.0,1.16,2018-2019,2nd,,-86.520913,39.16719
4006,"University of Minnesota , Twin Cities (UM)",Neuroscience,30000.0,1.31,2018-2019,,"with taxes taken off is about $27,000",51.4,25.42
4007,University of Florida (UF),Molecular genetics ,27800.0,1.22,2018-2019,1st,,-81.197224,28.605102
4008,University of Washington (UW),Immunology,34200.0,1.47,2018-2019,,,-122.3076595,47.654538
4009,"University of California , Berkeley",Rhetoric,18000.0,0.65,2018-2019,6th and up,,-122.2591495,37.870498999999995
4010,"University of North Carolina , Chapel Hill (UNC)",Environmental Sciences and Engineering,24324.0,1.09,2018-2019,2nd,,-79.049486,35.9083286875
4011,University of Louisville (U of L),Pharmacology and Toxicology,22000.0,1.07,2018-2019,2nd,,-85.584006,38.253366
4012,University of Tennessee Health Science Center,Biomedical Sciences,26505.0,1.18,2018-2019,1st,$495 is paid as registration fee every semester ,-90.03297,35.140192
