,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
6562,University of Kentucky (UK),Political science/PhD,16450.0,0.81,2016-2017,3rd,,-84.50858,38.025426
6563,Duke University (DU),MEMS,34000.0,1.53,2016-2017,1st,NSF GRFP,-78.9371308,36.0060219
6564,University of Kentucky (UK),Mathematics,19600.0,0.96,2016-2017,3rd,,-84.50858,38.025426
6565,North Carolina State University (NCSU),Education,14314.0,0.63,2016-2017,2nd,,-78.6727755,35.7861945
6567,University of Kentucky (UK),Gerontology ,15750.0,0.77,2016-2017,3rd,,-84.50858,38.025426
6568,"CUNY , Hunter College",Computer science,20000.0,0.67,2016-2017,6th and up,,-73.964216,40.767824
6570,University of Kentucky (UK),Communication,14000.0,0.69,2015-2016,4th,,-84.50858,38.025426
6571,University of Kentucky (UK),Transformative Learning,15850.0,0.78,2016-2017,6th and up,,-84.50858,38.025426
6572,University of Kentucky (UK),Electrical Engineering,16400.0,0.8,2016-2017,,,-84.50858,38.025426
6573,University of Kentucky (UK),Mathematics,16045.0,0.79,2016-2017,1st,,-84.50858,38.025426
6574,University of Oregon (UO),Chemistry,25000.0,1.19,2016-2017,5th,,-123.072036,44.048269
6575,University of Oregon (UO),school psychology,15000.0,0.71,2016-2017,,,-123.072036,44.048269
6576,Georgia Institute of Technology (Georgia Tech),"School of Biological Sciences (Biology, Bioinformatics, Quantitative Biosciences, Applied Physiology)",22250.0,0.96,2016-2017,1st,"$25,908 stipend, tuition waiver, and $3,658 in mandatory fees per year (includes ALL fees and insurance). BIO, BINF, QBioS and AP in the School of Biological Sciences for PhD 1st year until graduation (typically 5 years).",-84.3926795,33.78023525
6579,University of Kentucky (UK),Entomology,20000.0,0.98,2016-2017,2nd,,-84.50858,38.025426
6580,North Dakota State University (NDSU),ECS,16133.0,0.84,2016-2017,2nd,,-96.803713,46.902255
6581,,,14700.0,,2016-2017,,"My monthly rent is half of my monthly check, not counting utilities. I have to take out $8,000 in loans per year to survive. ",,
6582,"University of Michigan , Ann Arbor (UM)",Aerospace Engineering,29605.0,1.28,2016-2017,4th,No additional free required for health care for grad student and all dependents.,-83.73849799999999,42.2771875
6584,University of Kentucky (UK),Education,11000.0,0.54,2016-2017,3rd,,-84.50858,38.025426
6585,University of Kentucky (UK),Mathematics ,16250.0,0.8,2016-2017,1st,,-84.50858,38.025426
6586,University of Kentucky (UK),Mathematics,17690.0,0.87,2016-2017,3rd,,-84.50858,38.025426
6587,University of Kentucky (UK),Nursing,24700.0,1.21,2016-2017,4th,Health insurance and tuition covered.,-84.50858,38.025426
6589,Temple University (TU),Electrical Engineering,20839.0,0.86,2016-2017,4th,RA pay to work on advisor's project not related to my thesis. Also receive health insurance via the Union which covers up to 500 dollars a month of the insurance.,-75.156314,39.97922
6590,Yale University (YU),Forestry,29000.0,1.17,2016-2017,2nd,,-88.9972051619975,20.721291176
6591,University of Kentucky (UK),Biochemistry,25000.0,1.22,2016-2017,2nd,"Salary is adequate to cover basic living expenses, but isn't really enough to save any money, and if a tragedy or unforeseen cost arises (as it does in life), you need a strong support system to help financially because the stipend doesn't cut it. ",-84.50858,38.025426
6592,University of Kentucky (UK),Animal and Food Sciences,18000.0,0.88,2016-2017,3rd,,-84.50858,38.025426
6593,Temple University (TU),Political Science,21553.0,0.89,2015-2016,3rd,,-75.156314,39.97922
6594,Temple University (TU),Political Science,24000.0,1.0,2016-2017,4th,,-75.156314,39.97922
6595,University of Oregon (UO),Earth Sciences,18384.0,0.88,2016-2017,2nd,,-123.072036,44.048269
6596,Pennsylvania State University (Penn State),Ecology,25380.0,1.13,2016-2017,3rd,,-77.86414400000001,40.801520749999995
6597,Pennsylvania State University (Penn State),Ecology,29553.0,1.32,2016-2017,2nd,Tuition and fees are covered by assistantship from department or advisor grant.,-77.86414400000001,40.801520749999995
6598,"Louisiana State University , Baton Rouge",French Studies,22000.0,1.01,2016-2017,,,-91.178322,30.414605
6599,"University of Nevada , Reno (UNR)",molecular biology,35400.0,1.68,2016-2017,1st,,-116.598821819119,40.0711202976
6600,Rockefeller University,,38000.0,1.28,2016-2017,5th,,-73.9559165,40.762673500000005
6601,"University of Texas , El Paso (UTEP)",Chemistry,24000.0,1.15,2016-2017,2nd,Health insurance provided. Tuition isn't paid. Paid over 11 months. ,-106.505162,31.767388
6602,Harvard University (HU),Neurobiology,36720.0,1.28,2016-2017,3rd,,-6.95,37.25
6604,,,27000.0,,2016-2017,,,,
6605,"University of Massachusetts , Boston (UMB)",School of Global Inclusion and Social Development,16888.0,0.59,2016-2017,1st,,-71.06089,42.358315
6606,Kent State University (KSU),sociology,14500.0,0.73,2015-2016,3rd,,11.255723,43.770458
6608,Harvard University (HU),department of medical sciences,30550.0,1.07,2016-2017,6th and up,,-6.95,37.25
6609,Trinity College Dublin,Geography,20000.0,,2016-2017,1st,,-6.257573875,53.34432087500001
6610,Vanderbilt University,Civil Engineering,28200.0,1.23,2016-2017,,,-86.80421050000001,36.146879999999996
6620,"University of California , San Diego (UCSD)",Bioinformatics,32000.0,1.21,2016-2017,4th,,-122.0575945,36.9901525
6621,University of Arizona (U of A),Chemistry,22520.0,1.09,2016-2017,3rd,Very cheap. The salaries of school officials are much more than other top universities. And they rob you 500+ dollars for every single semester for all kinds of fees. Teaching loads are super heavy if you are in the chemistry department. Barely non health insurance coverage.,-110.944859,32.224454
6622,Harvard University (HU),SEAS,35000.0,1.22,2016-2017,6th and up,,-6.95,37.25
6623,Indiana University,Psychological and Brain Sciences,21800.0,1.01,2016-2017,,,-86.520913,39.16719
6624,Polytechnic Institute of New York University,Civil and Urban Engineering ,33000.0,1.11,2016-2017,,,-76.1358,43.0404
6625,University of Central Florida (UCF),chemistry,16500.0,0.71,2016-2017,,,-81.197224,28.605102
6626,Emory University,Business,30200.0,1.3,2015-2016,3rd,,-84.38642250000001,33.76855425
6627,"Purdue University , West Lafayette",Management,19300.0,0.91,2016-2017,1st,11 months,-86.92597925,40.426348000000004
6628,"Rutgers the State University of New Jersey , New Brunswick",Sociology,22882.0,0.89,2016-2017,1st,"$1,059 in fees each semester.
TA pay different from 1st year fellowship pay.",-74.447763,40.50005625
6629,University of Virginia (UVA),mechanical engineering,25000.0,1.09,2016-2017,1st,,-78.5039985,38.035165
6630,"Rutgers the State University of New Jersey , Newark",Center for Molecular and Behavioral Neuroscience,29600.0,1.09,2016-2017,2nd,,-74.4107,40.4882
6631,Georgia Institute of Technology (Georgia Tech),BMEd,25500.0,1.09,2016-2017,,,-84.3926795,33.78023525
6632,Pennsylvania State University (Penn State),ARL Walker,27000.0,1.2,2016-2017,2nd,,-77.86414400000001,40.801520749999995
6633,"University of Wisconsin , Madison (UW)",history of art,18000.0,0.79,2016-2017,1st,,-89.408095,43.073243500000004
6634,"University of Texas , El Paso (UTEP)",Business,10000.0,0.48,2016-2017,1st,,-106.505162,31.767388
6635,"University of Colorado , Boulder (UCB)",,25000.0,0.98,2016-2017,4th,,-105.2617842,40.0069447
6636,University of Utah,Bioscience PhD Programs,27000.0,1.21,2016-2017,1st,,-111.837882,40.769755
6637,Unniversity of Hawaii Manoa,English,16500.0,,2016-2017,,,-157.817621,21.297422500000003
6638,Rice University,Statistics,24140.0,1.1,2016-2017,1st,,-95.4018215,29.717171
6641,University of Akron,Electrical and computer engineering,10500.0,0.53,2016-2017,1st,,-81.51047700000001,41.075425
6642,"University of North Carolina , Chapel Hill (UNC)",BBSP,27200.0,1.22,2016-2017,1st,,-79.049486,35.9083286875
6643,University of Southern California (USC),Comparative Studies in Literature and Culture,29825.0,1.15,2016-2017,6th and up,$1000 out of the entire salary must be used on research-related expenses; other money is usually awarded (1-2k) throughout the year for research-related travel.,-118.14106,34.146771
6644,Arizona State University (ASU),Political Science,16700.0,0.75,2016-2017,1st,,-111.93225100000001,33.4210665
6645,,,16225.0,,2016-2017,,,,
6646,University of Southern California (USC),Slavic,31950.0,1.23,2016-2017,,,-118.14106,34.146771
6647,University of Southern California (USC),NGP,33000.0,1.28,2016-2017,1st,,-118.14106,34.146771
6648,HHMI Janelia Research Campus,,47500.0,,2016-2017,3rd,,-77.464595,39.071483
6649,"Purdue University , West Lafayette",Finance,19967.0,0.94,2016-2017,2nd,,-86.92597925,40.426348000000004
6650,Georgetown University,Economics,26800.0,0.87,2016-2017,2nd,,-77.072684,38.907701875
6651,Drexel University (DU),College of Engineering,24000.0,1.0,2016-2017,1st,,-77.039427,38.900666
6652,Wayne State University,Marketing,22340.0,1.07,2016-2017,4th,,-83.0696575,42.3568145
6653,"Rutgers the State University of New Jersey , New Brunswick",neuroscience,30000.0,1.16,2016-2017,1st,,-74.447763,40.50005625
6654,University of Southern California (USC),Neuroscience,31000.0,1.2,2016-2017,1st,,-118.14106,34.146771
6655,University of Delaware (UD),,23680.0,0.93,2016-2017,,,-75.74845024999999,39.679881249999994
6656,University of Alabama (UA),Math,18500.0,0.88,2016-2017,4th,,55.415171,25.105754
6657,University of Alabama (UA),Mathematics,17000.0,0.81,2016-2017,1st,,55.415171,25.105754
6658,University of Alabama (UA),Mathematics,20744.0,0.99,2016-2017,1st,,55.415171,25.105754
6659,University of Alabama (UA),Mathematics,18000.0,0.86,2016-2017,5th,,55.415171,25.105754
6660,University of Alabama (UA),Mathematics,17496.0,0.83,2016-2017,2nd,Also receive a $6000 scholarship per year awarded $3000 at the beginning of the fall and spring semesters. ,55.415171,25.105754
6661,University of Alabama (UA),Mathematics,20374.0,0.97,2016-2017,1st,"$17,964 for 9 months, $3000 for Summer",55.415171,25.105754
6662,Michigan Technological University (MTU),MECHANICAL,28000.0,1.38,2016-2017,1st,,-83.24918,42.474756
6663,California Institute of Technology (Caltech),natural science,31200.0,1.32,2012-2013,3rd,,-118.12562600000001,34.138344000000004
6664,"University at Buffalo , SUNY",physics,16126.0,0.77,2016-2017,2nd,"Additional fees for health care, dental, vision insurance. ",103.776405,1.328776
6666,Kent State University (KSU),Computer Science,15000.0,0.76,2016-2017,2nd,,11.255723,43.770458
6667,University of South Florida (UCF),Sociology,14200.0,0.65,2016-2017,1st,,-81.199302,28.595836
6668,University of Virginia (UVA),Religious Studies,24000.0,1.05,2016-2017,1st,,-78.5039985,38.035165
6669,"University of Massachusetts , Amherst (UMass)",Mechanical Engineering,22469.0,0.98,2016-2017,2nd,,-72.531793,42.388994
6670,Ohio State University (OSU),Materials science and engineering ,26600.0,1.33,2016-2017,1st,,-83.029862,40.020121
6671,University of Rochester (UR),political  science ,25000.0,1.17,2016-2017,5th,,7.497353,46.308815
6673,Stanford University (SU),biotech,20000.0,0.7,2016-2017,1st,,-115.114218,36.002823
6674,University of Florida (UF),Soil and Water Science,19600.0,0.86,2016-2017,3rd,,-81.197224,28.605102
6675,"University of Texas , Austin (UT)",ICES,24000.0,1.05,2016-2017,1st,,-97.734734,30.269594
6676,Salisbury university ,Biology,11600.0,,2016-2017,1st,,-75.60597050000001,38.3454575
6677,North Dakota State University (NDSU),English ,9500.0,0.5,2016-2017,1st,,-96.803713,46.902255
6678,Oklahoma State University (OSU),biochemistry and molecular biology,16000.0,0.82,2016-2017,1st,,-95.988563,36.163864
6679,Harvard University (HU),Biological and Biomedical Sciences,36720.0,1.28,2016-2017,2nd,,-6.95,37.25
6680,"University of California , Los Angeles (UCLA)","Biochemistry, Molecular, and Structural Biology",30500.0,1.18,2016-2017,1st,,-118.444563,34.071048
6681,Iowa State University (ISU),Business,26000.0,1.22,2016-2017,1st,Approximate value,-93.632669,42.006866
6682,Stevens Institute of Technology,Electrical,29000.0,1.09,2016-2017,2nd,,-74.0246695,40.744902499999995
6683,"Cedars,Sinai Medical Center",Biomedical Sciences,46000.0,,2016-2017,4th,,-118.370067,34.063319
6684,Baylor College of Medicine,Immunology,28750.0,1.32,2016-2017,1st,,-95.39637,29.7105295
6685,University of Chicago (UC),Sociology,25872.0,1.07,2016-2017,2nd,,-77.040457,38.898701
6686,Case Western Reserve University,English,16000.0,0.8,2016-2017,,,-81.609739,41.504526
6687,Virginia Tech,Computer SCience,21050.0,1.0,2016-2017,,,-80.40839349999999,37.207
6688,Boston University (BU),New England and American Studies Program,20500.0,0.72,2016-2017,,,-71.104588,42.350218
6689,University of South Dakota,Basic Biomedical Sciences,24107.0,1.21,2016-2017,1st,,-96.9252205,42.7860455
6690,"University of Michigan , Ann Arbor (UM)",School of Information,18000.0,0.78,2016-2017,1st,,-83.73849799999999,42.2771875
6691,University of Central Florida (UCF),Education ,12926.0,0.56,2016-2017,1st,,-81.197224,28.605102
6692,Drexel University (DU),Biology,21000.0,0.87,2016-2017,1st,,-77.039427,38.900666
6693,Harvard University (HU),English,32960.0,1.15,2016-2017,,,-6.95,37.25
6694,"Texas A&M University , College Station",Marketing Business,35000.0,,2016-2017,1st,,-96.34213299999999,30.614044
6695,Temple University (TU),Fox school of Business,30050.0,1.25,2016-2017,1st,Revised from $27500.,-75.156314,39.97922
6696,Texas Tech University (TTU),English,15100.0,0.74,2016-2017,4th,,-101.886033,33.590215
6697,West Virginia University (WVU),biology,25000.0,1.12,2016-2017,1st,,-79.981236,39.6492345
6698,Clemson University (CU),Biological Sciences,17920.0,0.86,2016-2017,2nd,,-74.08083,4.59889
6699,"University of North Carolina , Chapel Hill (UNC)","Biology/ Ecology, Evolution and Organismal Biology",17537.0,0.79,2016-2017,2nd,,-79.049486,35.9083286875
6700,Middle Tennessee State University (MTSU),Economics PHD,13300.0,0.58,2016-2017,1st,,-82.36827,36.303511
6701,Florida Institute of Technology,chemical,20000.0,0.95,2016-2017,,,-80.6238055,28.065064
6702,Drexel University (DU),Digital media,18000.0,0.75,2016-2017,1st,,-77.039427,38.900666
6703,Tufts University (TU),mechanical engineering,24000.0,0.86,2016-2017,1st,,-71.115059,42.40899
6704,Albany Medical College,Immunology and Microbiology,24000.0,1.05,2016-2017,1st,,-73.777159,42.653322
6705,University of Florida (UF),Statistics,23500.0,1.03,2016-2017,2nd,,-81.197224,28.605102
6706,South Dakota State University (SDSU),Life Science,18500.0,0.98,2016-2017,1st,,-96.78707,44.319045
6707,Temple University (TU),Accounting,37250.0,1.55,2016-2017,1st,,-75.156314,39.97922
6708,Virginia Tech,TBMH,27000.0,1.28,2016-2017,2nd,,-80.40839349999999,37.207
6709,University of North Texas (UNT),Computer Science and Engineering,12410.0,0.58,2016-2017,1st,,-97.148998,33.2107285
6710,"University of Texas Health Science Center , San Antonio",Translational Science,24000.0,1.16,2016-2017,3rd,"Though San Antonio is a relatively cheap city in which to live, a $26000 annual stipend does not go very far, especially if you have a debt or debts from before starting graduate school. From my gross pay, I have to pay my own university tuition/fees and health/dental insurance. After taxes, this leaves very little money for living expenses.",-98.4951,29.4246
6711,"University of California , Davis (UCD)",NEUROSCIENCE,31022.0,1.29,2016-2017,1st,,-121.75182699999999,38.539555
6712,"University of California , Davis (UCD)",Political Science,26000.0,1.08,2016-2017,1st,,-121.75182699999999,38.539555
6713,Florida Atlantic University (FAU),Aademic Affairs,32232.0,1.35,2016-2017,6th and up,,-80.101683,26.375454
6715,Oregon Health and Science University,biomedcal engineering,28000.0,1.2,2016-2017,1st,,-122.68649575,45.499157249999996
6716,"University of North Carolina , Chapel Hill (UNC)",Cell Biology & Physiology,28500.0,1.28,2016-2017,6th and up,,-79.049486,35.9083286875
6717,"University of North Carolina , Chapel Hill (UNC)",Neuroscience,29000.0,1.3,2016-2017,1st,,-79.049486,35.9083286875
6718,"University of North Carolina , Chapel Hill (UNC)",Pharmacology,29000.0,1.3,2016-2017,6th and up,"I entered ""$0"" in the required fees because our student fees are paid for by the school/our PI's grants.  However, UNC graduate students are charged $979.08 in student fees per semester (for fall and spring, at least).

In general, the UNC stipend for graduate students in the School of Medicine is very nice.  I was able to live by myself in a 2-bedroom apartment for two years before moving in with my boyfriend.  We live comfortably without needing extra jobs/money, and with good budgeting habits I am able to save money every month and still splurge occasionally.",-79.049486,35.9083286875
6719,"University of North Carolina , Chapel Hill (UNC)",Genetics and Molecular Biology,29000.0,1.3,2016-2017,,,-79.049486,35.9083286875
6720,"University at Albany , SUNY",Nanoscale Engineering ,26600.0,1.17,2016-2017,,,-73.749616,42.648305
6721,University of Southern California (USC),Keck School of Medicine,32000.0,1.24,2016-2017,1st,,-118.14106,34.146771
6722,"University of California , Davis (UCD)",Food Science,22000.0,0.92,2016-2017,4th,,-121.75182699999999,38.539555
6723,Tufts University (TU),Mechanical Engineering,23500.0,0.84,2016-2017,5th,,-71.115059,42.40899
6724,Bath,Computer Science,16557.0,,2015-2016,2nd,Additional 3k from second year+,-2.35861,51.38139
6726,Princeton University,Sociology,31000.0,1.22,2016-2017,1st,,-74.65832225,40.3451335
6727,Northwestern University (NU),Philosophy,30889.0,1.27,2016-2017,4th,,-87.681944,42.050146
6728,"University of California , Irvine (UCI)",Environmental Health Sciences,22000.0,0.75,2016-2017,2nd,,-117.841987,33.649718
6729,North Carolina State University (NCSU),Economics,13400.0,0.59,2016-2017,2nd,"Required Fees $1,300 for each semester",-78.6727755,35.7861945
6730,University of Miami (UM),Computer Science ,20996.0,0.88,2016-2017,3rd,,-80.277772,25.720069
6731,Harvard University (HU),Bioengineering,27000.0,0.94,2016-2017,1st,,-6.95,37.25
6732,"University of North Carolina , Chapel Hill (UNC)",Biomedical Engineering,25000.0,1.12,2015-2016,5th,,-79.049486,35.9083286875
6733,"University of Illinois , Urbana, Champaign (UIUC)",Industrial Engineering,17950.0,0.82,2015-2016,,"Tuition Waiver + 2050 per month (RA/TA - 20h/week)
Summer Max 4100/month (RA mostly)",-88.2269005,40.11054
6734,"University of California , San Francisco (UCSF)",Biophysics,36000.0,1.2,2016-2017,1st,,-122.458398,37.763313
6735,Emory University,Math,20700.0,0.89,2016-2017,,,-84.38642250000001,33.76855425
6736,Stanford,Microbiology ,37800.0,,2016-2017,1st,,-122.1677,37.4248
6737,nottingham trent university,School of science and technology,10005.0,,2016-2017,1st,,-1.1524640000000002,52.956867
6738,Oregon State University (OSU),,21126.0,1.01,2016-2017,2nd,2 year department fellowship,-123.277747,44.564894
6739,"University of Illinois , Urbana, Champaign (UIUC)",business administration,29000.0,1.32,2016-2017,3rd,,-88.2269005,40.11054
6740,Washington State University (WSU),Civil and Environmental Engineering,22384.0,1.18,2016-2017,4th,"My pay comes from a research assistantship. The required fees go toward the local bus system (free for students), recreation center (free for students), student government, student union building, and campus health center. Cost of living is quite low here with most 1 bedroom apartments costing in the range of $500-700 per month. The pay is just enough to cover my expenses without the need for additional support. ",-119.2688,46.3252
6741,California state university,Physics,30000.0,,2016-2017,3rd,,-117.88466149999999,33.880694
6742,Northwestern University (NU),Literature,29900.0,1.23,2016-2017,4th,,-87.681944,42.050146
6743,Northeastern University (NU),History,33744.0,1.18,2016-2017,1st,,-71.087029,42.339604
6744,"University of California , Berkeley",Neuroscience,34500.0,1.24,2016-2017,2nd,,-122.2591495,37.870498999999995
6745,University of Notre Dame,English,23000.0,,2016-2017,1st,,-86.23826225,41.7008115
6746,Tulane University (TU),,20700.0,0.9,2016-2017,2nd,,-87.55,33.21
6747,San Diego State University (SDSU),biology,22500.0,0.85,2016-2017,2nd,,-90.676855,35.839503
6750,"University of Illinois , Urbana, Champaign (UIUC)",Crop Sciences,24400.0,1.41,2010-2011,2nd,,-88.2269005,40.11054
6751,North Carolina State University (NCSU),Crop Science,22000.0,0.96,2016-2017,4th,,-78.6727755,35.7861945
6752,Pennsylvania State University (Penn State),Entomology,26500.0,1.18,2015-2016,6th and up,,-77.86414400000001,40.801520749999995
6753,Ohio State University (OSU),Biological Sciences Graduate Program,27828.0,1.39,2016-2017,1st,,-83.029862,40.020121
6754,East Carolina University (ECU),Microbiology and Immunology,22600.0,1.05,2016-2017,3rd,,-77.321777,35.628977
6755,Princeton Theological Seminary (PTS),Theology,16000.0,0.63,2016-2017,,,-74.6639065,40.3441735
6756,,,24200.0,,2016-2017,,,,
6758,University of Connecticut (UConn),Civil  engineering,20400.0,0.84,2016-2017,1st,,-72.2481995,41.807010500000004
6759,"Texas A&M University , College Station",Entomology,25050.0,,2016-2017,1st,,-96.34213299999999,30.614044
6760,"University of Michigan , Ann Arbor (UM)",Economics,22500.0,0.97,2016-2017,1st,,-83.73849799999999,42.2771875
6761,"University of Hawaii , Manoa (UH)",Zoology,18030.0,0.59,2016-2017,1st,,-81.3465,40.3931
6763,"University of California , San Diego (UCSD)",Phd,27000.0,1.02,2016-2017,1st,,-122.0575945,36.9901525
6764,Oakland University (OU),Biology,21000.0,1.01,2016-2017,1st,,-79.9557,40.439
6765,Clark University,Geography,17185.0,0.76,2016-2017,2nd,,-71.823174,42.2511345
6766,Johns Hopkins University (JHU),Pharmacology ,31000.0,1.21,2016-2017,1st,,-76.6203555,39.328937499999995
6767,Clemson University (CU),Educational Leadershop,7500.0,0.36,2016-2017,2nd,,-74.08083,4.59889
6768,"University of Alabama , Birmingham (UAB)",Chemistry,20500.0,0.95,2016-2017,4th,,-86.802087,33.506034
6769,"Rutgers the State University of New Jersey , Newark",biomedical science,29600.0,1.09,2016-2017,1st,,-74.4107,40.4882
6770,Florida Atlantic University (FAU),Geosciences,18000.0,0.75,2015-2016,4th,"Salary of $20k is for  fall, spring, and summer; 80% tuition waiver, need to pay remaining 20% tuition + fees ->rough total of $1000 each semester (all students are automatically assessed a parking permit fee of ~$100). No healthcare is offered. Rent is really expensive (~$900-$1050 for a 1BR), living alone is very unlikely without external financial assistance (but then no one would graduate in a timely manner). ",-80.101683,26.375454
6771,Iowa State University (ISU),Geological & Atmospheric Sciences,16224.0,0.76,2016-2017,1st,"PhD salary is $1900/month (for 9 months). Basic health insurance provided but no dental care. Dental care is an addtional $8/paycheck ($16/month). Taxes make a bigger dent in the paycheck (federal + state tax deductions). It is very possible to live along but the savings would be more than twice if living with a roommate. The rent for a 2BR is roughly 140% that of a 1BR (some 2BR's are running ~$800-$1000 whereas some 1BR's are running around $595-$750). I am not sure about other departments but summer funding for our department is mainly RAship, thus, not guaranteed. The  good thing is that the minimum stipend increases to $2000 for the 2017-2018 academic year.",-93.632669,42.006866
6773,"University of Colorado , Boulder (UCB)",Leeds School of Business,28000.0,1.1,2016-2017,1st,,-105.2617842,40.0069447
6774,,,18800.0,,2016-2017,,,,
6775,"University of Alabama , Birmingham (UAB)",Civil engineering,24000.0,1.11,2016-2017,3rd,,-86.802087,33.506034
6776,"University of North Carolina , Chapel Hill (UNC)",Biomedical Engineering,22000.0,0.99,2016-2017,1st,,-79.049486,35.9083286875
6777,University of Southern California (USC),Neuroscience (NGP),31000.0,1.2,2016-2017,5th,,-118.14106,34.146771
6778,CUNY Graduate School and University Center,Psychology,34000.0,1.14,2016-2017,2nd,,-73.9838295,40.748540000000006
6779,Utah State University (USU),Environment & Society,33621.0,1.62,2016-2017,5th,Student portion of health insurance fees is $359/yr (not included in my required fee amount). My required fees are covered with an NSF GRF Cost of Education Allowance--which is not common practice at all universities--but my peers have to cover their own fees.,-110.8035745,39.6079015
6780,Utah State University (USU),Watershed Sciences,16800.0,0.81,2015-2016,2nd,"I was able to get my student fees waived, but most students in the department are required to pay student fees, which are around $500 per semester. Our department does not have standardized pay. I am an RA, most students in the department are RAs. The pay is adequate for a single person living in Logan, but would be a stretch for anyone supporting a family. The insurance is good, but not great and does not include dental.",-110.8035745,39.6079015
6781,Indiana University,Economics,14500.0,0.67,2015-2016,1st,"The pay is well below par. The tuition remission only covers 95% of out of state tuition, which may sound like a fair portion, but that 5% amounts to almost 17% of the yearly stipend. In the end, expect to receive about $14000 of useable funds per year. 
Oh. Don't forget the taxes. $12000. 
Want to park on campus? That's another $300 per semester. 
Fuck IU",-86.520913,39.16719
6782,University of Pennsylvania,Biology,30000.0,1.24,2016-2017,5th,,-75.191259,39.9492625
6783,Columbia University (CU),Comparative Literature/French,34620.0,1.16,2016-2017,4th,,-74.08083,4.59889
6784,Seton Hall University,Biological Sciences,10500.0,0.39,2016-2017,2nd,,-74.247881,40.7425565
6785,University of Florida (UF),Electrical Engineering ,23000.0,1.01,2016-2017,2nd,,-81.197224,28.605102
6786,Johns Hopkins University (JHU),biomedical engineering,31000.0,1.21,2016-2017,1st,,-76.6203555,39.328937499999995
6787,Jackson State University (JSU),STEM,30000.0,1.48,2016-2017,6th and up,fellowship program called LSMAMP,-90.1848,32.299
6788,"Stony Brook University , SUNY",Computer Science,27000.0,0.97,2015-2016,2nd,,-73.124151,40.914502
6789,Boston University (BU),Bioinformatics,32250.0,1.13,2016-2017,,,-71.104588,42.350218
6790,New York University (NYU),Sociology,30300.0,1.02,2016-2017,2nd,,-73.9621555,40.807559499999996
6791,University of Toronto,Molecular Genetics,20000.0,,2016-2017,5th,"We do not need to TA to receive this, so any money earned due to TAing is supplemental. Receiving competitive awards gives us a $4000 top up max, though I think only if it is an award over $15k or something. But even if your award is for more than the stipend + topup, you still just get the stipend + top up amount. Less competitive awards add only a $2000 top up. There is one very prestigious scholarship (called the Vanier) where students get to keep the full amount of the award, which is $50000.",-79.6626575,43.548175
6792,Massachusetts Institute of Technology (MIT),Biology,36000.0,1.29,2016-2017,2nd,,-71.0935805,42.358984
6793,University of Louisville (U of L),Chemistry,21775.0,1.06,2016-2017,2nd,,-85.584006,38.253366
6794,Washington State University (WSU),Animal Science,12600.0,0.67,2016-2017,1st,,-119.2688,46.3252
6795,"University of Tennessee , Knoxville","Soils, Plant and Insects",18800.0,1.02,2009-2010,1st,,-83.930266,35.9530525
6796,Illinois State University (ISU),biology,15000.0,0.66,2015-2016,2nd,,-88.995827,40.497317
6797,Massachusetts Institute of Technology (MIT),Chemical engineering,37020.0,1.33,2016-2017,3rd,,-71.0935805,42.358984
6798,"University of California , Santa Cruz",Microbiology and Environmental toxiciology,29000.0,1.08,2016-2017,2nd,,-122.0575945,36.9901525
6799,Duke University (DU),CNAP,30000.0,1.6,2014-2015,2nd,,-78.9371308,36.0060219
6800,"University of North Carolina , Chapel Hill (UNC)",Media and Journalism,18000.0,0.81,2016-2017,4th,We do receive full healthcare benefits via Blue Cross/Blue Shield.,-79.049486,35.9083286875
6801,Georgia State University (GSU),Neuroscience,25000.0,1.07,2016-2017,1st,,-84.389137,33.756428
6802,,Medical Sciences,24658.0,,2016-2017,,"Scholarship/stipend pay in lump sums at start of each term. TA/RA pay biweekly during respective terms.

Budgeting very difficult with convoluted payment schedules and terrible online system.",,
6803,Clemson University (CU),Civil Engineering,14100.0,0.78,2014-2015,3rd,,-74.08083,4.59889
6804,University of Rochester (UR),Pharmacology ,27000.0,1.26,2016-2017,5th,"Our PIs pay around 45,000 per year for each student: 27,000 in stipend, and the rest is tuition.  All fees for health insurance and etc. are paid by the dean.  ",7.497353,46.308815
6805,"University of Texas Health Science Center , Houston",Medical Physics,29500.0,1.35,2016-2017,4th,,-95.403086,29.703271
6806,University of South Carolina (USC),"pathology, microbiology and immunology",23000.0,1.02,2016-2017,,21k + insurance or 23k total. Cost of living is cheap here (rent ~430/month),-80.375953,33.933773
6807,Oregon Health and Science University,Neuroscience Graduate Program,29500.0,1.26,2016-2017,3rd,,-122.68649575,45.499157249999996
6808,Harvard University (HU),DMS,38200.0,1.33,2016-2017,1st,Herchel Smith Fellowship,-6.95,37.25
6809,Vanderbilt University,Cell and Developmental Biology,28050.0,1.22,2016-2017,6th and up,Parking $600,-86.80421050000001,36.146879999999996
6810,Georgia State University (GSU),Biology,21300.0,0.91,2016-2017,3rd,,-84.389137,33.756428
6811,University of Kentucky (UK),Physiology,25000.0,1.22,2016-2017,5th,,-84.50858,38.025426
6812,University of Utah,Neurobiology and Anatomy/Neuroscience,27000.0,1.21,2016-2017,4th,,-111.837882,40.769755
6813,University of Georgia (UGA),Foods and Nutrition,16000.0,0.89,2014-2015,3rd,"Fees are an estimate from what I remember. They were fairly expensive though, at least $1K/semester. Parking is not included.",43.881434770301,42.3842114527972
